dataset,k,action_model,metric,difference,ci95_low,ci95_high
IIRC,2,27B,full_support,0.0017889087656529517,-0.014311270125223614,0.017889087656529516
IIRC,2,27B,mean_support_recall,-0.0019976147883124626,-0.01836612999403697,0.014311270125223614
IIRC,2,27B,exact_match,0.007155635062611807,-0.007155635062611807,0.02146690518783542
IIRC,2,27B,mean_answer_f1,0.010734869057209318,-0.004258302994595463,0.02636456281043823
IIRC,2,27B,mean_additional_exploration_actions,0.025044722719141325,-0.0035778175313059034,0.05366726296958855
IIRC,2,27B,mean_acquired_chunks,-0.016100178890876567,-0.06797853309481217,0.03398926654740608
IIRC,3,4B,full_support,0.025044722719141325,0.0017889087656529517,0.04830053667262969
IIRC,3,4B,mean_support_recall,0.0251937984496124,0.0020870602265951103,0.048598688133571856
IIRC,3,4B,exact_match,0.005366726296958855,-0.012522361359570662,0.023255813953488372
IIRC,3,4B,mean_answer_f1,0.01253877321279309,-0.006518154792745357,0.03196166713572655
IIRC,3,4B,mean_additional_exploration_actions,0.3005366726296959,0.25760286225402507,0.3434704830053667
IIRC,3,4B,mean_acquired_chunks,0.8050089445438283,0.6887298747763864,0.924865831842576
IIRC,3,9B,full_support,0.0035778175313059034,-0.014311270125223614,0.02146690518783542
IIRC,3,9B,mean_support_recall,0.002564102564102564,-0.016398330351818726,0.02152653548002385
IIRC,3,9B,exact_match,-0.0017889087656529517,-0.01967799642218247,0.016100178890876567
IIRC,3,9B,mean_answer_f1,-0.002212042939254311,-0.019661733856384728,0.014922990268822977
IIRC,3,9B,mean_additional_exploration_actions,0.017889087656529516,-0.016100178890876567,0.0518783542039356
IIRC,3,9B,mean_acquired_chunks,-0.01073345259391771,-0.10196779964221825,0.08228980322003578
IIRC,3,27B,full_support,0.005366726296958855,-0.012522361359570662,0.023255813953488372
IIRC,3,27B,mean_support_recall,0.004174120453190221,-0.01073345259391771,0.01967799642218247
IIRC,3,27B,exact_match,0.0035778175313059034,-0.014311270125223614,0.02146690518783542
IIRC,3,27B,mean_answer_f1,-0.00004959312619817279,-0.01598048414287635,0.015392663759333888
IIRC,3,27B,mean_additional_exploration_actions,0.03935599284436494,0.014311270125223614,0.06618962432915922
IIRC,3,27B,mean_acquired_chunks,0.07155635062611806,-0.0017889087656529517,0.148479427549195
IIRC,5,27B,full_support,-0.008944543828264758,-0.025044722719141325,0.007155635062611807
IIRC,5,27B,mean_support_recall,-0.009749552772808588,-0.023762671437090037,0.004323196183661299
IIRC,5,27B,exact_match,0.014311270125223614,0.0,0.03041144901610018
IIRC,5,27B,mean_answer_f1,0.008055749617937112,-0.00563042011657301,0.02227419728325311
IIRC,5,27B,mean_additional_exploration_actions,0.007155635062611807,-0.02146690518783542,0.03577817531305903
IIRC,5,27B,mean_acquired_chunks,0.01073345259391771,-0.10554561717352415,0.12701252236135957
MuSiQue-Ans,2,27B,full_support,0.006206040546131568,-0.0028961522548613984,0.015308233347124535
MuSiQue-Ans,2,27B,mean_support_recall,0.0025168942214866914,-0.002137636188111985,0.007309336643221624
MuSiQue-Ans,2,27B,exact_match,0.0012412081092263137,-0.004551096400496483,0.00703351261894911
MuSiQue-Ans,2,27B,mean_answer_f1,0.000811819782452944,-0.004870011537284524,0.006535135263183492
MuSiQue-Ans,2,27B,mean_additional_exploration_actions,0.02772031443938767,0.015721969383533305,0.03971865949524204
MuSiQue-Ans,2,27B,mean_acquired_chunks,0.015721969383533305,-0.004137360364087712,0.0359950351675631
MuSiQue-Ans,3,4B,full_support,0.08109226313611916,0.06661150186181217,0.09557302441042614
MuSiQue-Ans,3,4B,mean_support_recall,0.05057923045097228,0.04299406978347814,0.05833678113363674
MuSiQue-Ans,3,4B,exact_match,0.021100537856847332,0.011170872983036822,0.03144393876706661
MuSiQue-Ans,3,4B,mean_answer_f1,0.02369173389359342,0.013803620402588118,0.03367518398070758
MuSiQue-Ans,3,4B,mean_additional_exploration_actions,0.41539098055440626,0.39056681836988,0.4402151427389326
MuSiQue-Ans,3,4B,mean_acquired_chunks,0.9768307819611088,0.9201489449731072,1.0335229623500197
MuSiQue-Ans,3,9B,full_support,0.016549441456350848,0.00703351261894911,0.026065370293752586
MuSiQue-Ans,3,9B,mean_support_recall,0.01106743897393463,0.005999172527927183,0.016204661426010205
MuSiQue-Ans,3,9B,exact_match,0.004964832436905255,-0.0016549441456350847,0.011998345055854365
MuSiQue-Ans,3,9B,mean_answer_f1,0.004862431117830259,-0.0021637195560298647,0.012081304124852947
MuSiQue-Ans,3,9B,mean_additional_exploration_actions,0.0906081919735209,0.07447248655357881,0.10715763342987174
MuSiQue-Ans,3,9B,mean_acquired_chunks,0.10053785684733141,0.07323127844435251,0.12825817128671907
MuSiQue-Ans,3,27B,full_support,0.004137360364087712,-0.004964832436905255,0.013239553165080678
MuSiQue-Ans,3,27B,mean_support_recall,0.0014135981243966348,-0.002861674251827334,0.005723348503654669
MuSiQue-Ans,3,27B,exact_match,-0.0033098882912701694,-0.008688456764584195,0.0024824162184526274
MuSiQue-Ans,3,27B,mean_answer_f1,-0.0035247333830723824,-0.009201045117737746,0.0021689781388709835
MuSiQue-Ans,3,27B,mean_additional_exploration_actions,0.026065370293752586,0.01405668183698801,0.03806371534960695
MuSiQue-Ans,3,27B,mean_acquired_chunks,0.00703351261894911,-0.01696317749275962,0.031857674803475386
MuSiQue-Ans,5,27B,full_support,0.005378568473314025,-0.0033098882912701694,0.01406702523789822
MuSiQue-Ans,5,27B,mean_support_recall,0.001758378154737278,-0.0021031581850779204,0.005723348503654669
MuSiQue-Ans,5,27B,exact_match,0.0012412081092263137,-0.004964832436905255,0.007447248655357882
MuSiQue-Ans,5,27B,mean_answer_f1,-0.0012576815483427517,-0.007099556124338566,0.004678408258294803
MuSiQue-Ans,5,27B,mean_additional_exploration_actions,0.07116259826230864,0.05709557302441043,0.08522962350020687
MuSiQue-Ans,5,27B,mean_acquired_chunks,0.08398841539098055,0.049648324369052546,0.11791477037649979
