dataset,k,action_model,condition,questions,full_support,mean_support_recall,exact_match,answer_f1,mean_additional_exploration_actions,mean_acquired_chunks
IIRC,2,27B,baseline,559,0.44364937388193204,0.4900417412045319,0.3470483005366726,0.4541202180571477,1.0161001788908766,3.6940966010733454
IIRC,2,27B,proposed,559,0.44543828264758495,0.4880441264162194,0.3542039355992844,0.46485508711435697,1.0411449016100178,3.677996422182469
IIRC,3,4B,baseline,559,0.2808586762075134,0.3161896243291592,0.3041144901610018,0.3851145854743987,0.3738819320214669,3.9749552772808587
IIRC,3,4B,proposed,559,0.30590339892665475,0.34138342277877165,0.3094812164579606,0.39765335868719176,0.6744186046511628,4.779964221824687
IIRC,3,9B,baseline,559,0.33094812164579607,0.37355396541443053,0.3434704830053667,0.43392606227928987,0.556350626118068,4.3291592128801435
IIRC,3,9B,proposed,559,0.334525939177102,0.3761180679785331,0.3416815742397138,0.4317140193400355,0.5742397137745975,4.3184257602862255
IIRC,3,27B,baseline,559,0.47048300536672627,0.5200655933214072,0.36493738819320215,0.46584216480455004,0.8461538461538461,5.114490161001789
IIRC,3,27B,proposed,559,0.47584973166368516,0.5242397137745975,0.3685152057245081,0.4657925716783518,0.8855098389982111,5.186046511627907
IIRC,5,27B,baseline,559,0.4865831842576029,0.5373583780560525,0.3470483005366726,0.44741961533670194,0.6243291592128801,7.635062611806798
IIRC,5,27B,proposed,559,0.4776386404293381,0.5276088252832439,0.3613595706618962,0.455475364954639,0.631484794275492,7.645796064400716
MuSiQue-Ans,2,27B,baseline,2417,0.44642118328506414,0.7282443800855055,0.23500206868018203,0.36113513300852784,1.307405875051717,3.4257343814646255
MuSiQue-Ans,2,27B,proposed,2417,0.4526272238311957,0.7307612743069921,0.23624327678940835,0.36194695279098077,1.3351261894911046,3.441456350848159
MuSiQue-Ans,3,4B,baseline,2417,0.3198179561439801,0.6570128258171287,0.20810922631361192,0.31951000805210616,0.6259826230864708,3.8903599503516757
MuSiQue-Ans,3,4B,proposed,2417,0.4009102192800993,0.707592056268101,0.22920976417045924,0.34320174194569963,1.0413736036408772,4.8671907323127845
MuSiQue-Ans,3,9B,baseline,2417,0.34298717418287133,0.672217625155151,0.21638394704178734,0.32856042513623296,0.6988001654944146,3.992552751344642
MuSiQue-Ans,3,9B,proposed,2417,0.3595366156392222,0.6832850641290856,0.22134877947869258,0.3334228562540632,0.7894083574679355,4.093090608191973
MuSiQue-Ans,3,27B,baseline,2417,0.5419942076954902,0.7930975037925804,0.2598262308647083,0.38317919983699306,1.1981795614398014,4.789822093504344
MuSiQue-Ans,3,27B,proposed,2417,0.546131568059578,0.7945111019169769,0.25651634257343814,0.37965446645392065,1.224244931733554,4.796855606123294
